offset_seconds,frequency_hz
0.500000,60.113349
1.500000,60.113349
2.500000,60.039595
3.500000,60.039595
4.500000,60.039595
5.500000,60.058012
6.500000,60.011192
7.500000,60.058012
8.500000,59.959672
9.500000,59.959672
10.500000,59.959672
11.500000,60.112997
12.500000,60.112997
13.500000,59.927860
14.500000,59.927860
15.500000,60.019658
16.500000,60.067372
17.500000,60.019658
18.500000,60.029015
19.500000,60.026296
20.500000,60.026296
21.500000,59.981754
22.500000,59.981754
23.500000,60.039965
24.500000,60.039965
25.500000,59.931563
26.500000,59.931563
27.500000,60.069148
28.500000,60.069148
29.500000,60.087150
30.500000,59.981610
31.500000,60.087150
32.500000,59.956124
33.500000,59.948386
34.500000,59.948386
35.500000,60.037348
36.500000,60.037348
37.500000,59.975822
38.500000,59.975822
39.500000,60.087181
40.500000,60.087181
41.500000,60.065059
42.500000,60.004150
43.500000,60.004150
44.500000,60.004150
45.500000,60.112875
46.500000,60.112875
47.500000,60.137064
48.500000,60.078787
49.500000,60.078787
50.500000,59.961161
51.500000,59.956914
52.500000,59.961161
53.500000,60.030101
54.500000,60.030101
55.500000,59.972808
56.500000,59.972808
57.500000,59.993207
58.500000,60.009054
59.500000,60.064929
60.500000,60.099921
61.500000,60.126284
62.500000,60.126284
63.500000,60.059204
64.500000,59.933370
65.500000,59.933370
66.500000,59.937777
67.500000,60.020242
68.500000,59.937777
69.500000,60.020242
70.500000,60.012307
71.500000,60.053311
72.500000,60.012307
73.500000,59.908571
74.500000,59.908571
75.500000,60.022087
76.500000,60.032657
77.500000,60.032657
78.500000,59.950266
79.500000,59.932853
80.500000,59.932853
81.500000,60.022903
82.500000,60.022903
83.500000,60.022903
84.500000,60.044933
85.500000,60.044933
86.500000,60.029690
87.500000,59.961290
88.500000,59.966802
89.500000,59.965300
90.500000,59.966802
91.500000,59.977276
92.500000,59.977276
93.500000,59.966912
94.500000,59.936250
95.500000,59.936250
96.500000,60.058895
97.500000,60.138582
98.500000,60.138582
99.500000,60.101262
100.500000,60.079588
101.500000,59.970708
102.500000,60.079588
103.500000,60.061625
104.500000,60.061625
105.500000,60.061625
106.500000,60.084145
107.500000,60.108806
108.500000,60.116300
109.500000,60.116300
110.500000,60.093039
111.500000,60.059761
112.500000,60.093039
113.500000,60.022431
114.500000,60.022431
115.500000,60.022431
116.500000,60.033979
117.500000,60.033979
118.500000,59.975213
119.500000,59.975213
120.500000,60.015522
121.500000,60.015522
122.500000,60.016239
123.500000,59.933193
124.500000,59.933193
125.500000,59.868814
126.500000,59.868814
127.500000,59.925319
128.500000,59.925319
129.500000,59.925319
130.500000,59.912823
131.500000,59.885403
132.500000,59.885403
133.500000,59.965876
134.500000,59.965876
135.500000,59.899761
136.500000,59.899761
137.500000,59.887352
138.500000,59.960938
139.500000,59.960938
140.500000,59.960938
141.500000,59.991536
142.500000,60.067035
143.500000,60.088524
144.500000,60.088524
145.500000,60.035808
146.500000,60.035808
147.500000,60.081568
148.500000,60.081568
149.500000,59.934376
150.500000,59.834776
151.500000,59.934376
152.500000,59.811588
153.500000,59.874310
154.500000,59.874310
155.500000,59.875814
156.500000,59.883936
157.500000,59.930957
158.500000,59.946104
159.500000,59.988829
160.500000,60.017635
161.500000,60.086369
162.500000,60.086369
163.500000,60.065239
164.500000,60.065239
165.500000,60.065239
166.500000,59.997041
167.500000,59.997041
168.500000,60.003555
169.500000,60.003555
170.500000,59.982375
171.500000,59.982375
172.500000,60.086986
173.500000,60.086986
174.500000,60.068220
175.500000,59.976660
176.500000,60.068220
177.500000,59.976660
178.500000,60.044221
179.500000,59.927574
180.500000,59.942033
181.500000,59.942033
182.500000,59.982768
183.500000,60.028208
184.500000,60.040653
185.500000,60.101258
186.500000,60.101258
187.500000,60.123107
188.500000,60.123107
189.500000,60.132760
190.500000,60.087910
191.500000,59.959238
192.500000,59.959238
193.500000,59.962576
194.500000,60.077783
195.500000,60.104950
196.500000,60.104950
197.500000,60.094735
198.500000,59.946967
199.500000,59.903694
200.500000,59.850464
201.500000,59.903694
202.500000,59.923159
203.500000,60.029047
204.500000,60.029047
205.500000,60.090151
206.500000,60.018588
207.500000,60.053008
208.500000,59.954626
209.500000,60.053008
210.500000,60.009969
211.500000,60.092550
212.500000,60.009969
213.500000,59.977674
214.500000,59.977674
215.500000,59.980698
216.500000,59.980698
217.500000,59.980698
218.500000,59.951696
219.500000,59.951696
220.500000,59.948847
221.500000,59.948847
222.500000,60.001665
223.500000,60.001665
224.500000,60.001665
225.500000,60.083676
226.500000,60.083676
227.500000,59.989374
228.500000,59.989374
229.500000,60.101730
230.500000,60.112507
231.500000,60.112507
232.500000,59.957375
233.500000,59.942992
234.500000,59.912856
235.500000,59.912856
236.500000,60.057102
237.500000,60.073858
238.500000,60.057102
239.500000,60.044369
240.500000,59.998522
241.500000,59.998522
242.500000,60.067001
243.500000,60.067001
244.500000,60.005266
245.500000,59.968377
246.500000,59.968377
247.500000,59.933888
248.500000,59.933888
249.500000,60.055613
250.500000,60.055613
251.500000,60.108995
252.500000,60.106781
253.500000,60.106781
254.500000,59.938922
255.500000,59.906059
256.500000,59.906059
257.500000,59.906059
258.500000,59.953154
259.500000,59.956499
260.500000,60.045592
261.500000,59.981035
262.500000,60.045592
263.500000,60.018655
264.500000,60.101994
265.500000,60.118297
266.500000,60.118297
267.500000,60.017851
268.500000,59.959338
269.500000,59.959338
270.500000,59.994407
271.500000,60.011797
272.500000,60.064021
273.500000,60.064021
274.500000,59.958105
275.500000,59.958105
276.500000,59.958105
