timestamp_utc,region,frequency_hz
2026-03-20 23:41:36.872632+00:00,EI,60.04204545454545
2026-03-20 23:41:36.872632+00:00,ERCOT,59.984962406015036
2026-03-20 23:41:36.872632+00:00,Quebec,60.028320802005005
2026-03-20 23:41:36.872632+00:00,WECC,59.95187969924812
2026-03-20 23:41:37.037467165+00:00,EI,60.04368686868687
2026-03-20 23:41:37.037467165+00:00,ERCOT,59.98558897243109
2026-03-20 23:41:37.037467165+00:00,Quebec,60.02890559732665
2026-03-20 23:41:37.037467165+00:00,WECC,59.952840434419386
2026-03-20 23:41:38.026478154+00:00,EI,60.045370370370364
2026-03-20 23:41:38.026478154+00:00,ERCOT,59.98462823725981
2026-03-20 23:41:38.026478154+00:00,Quebec,60.02706766917293
2026-03-20 23:41:38.026478154+00:00,WECC,59.95179615705932
2026-03-20 23:41:39.015489143+00:00,EI,60.04326599326599
2026-03-20 23:41:39.015489143+00:00,ERCOT,59.985421888053466
2026-03-20 23:41:39.015489143+00:00,Quebec,60.021512113617376
2026-03-20 23:41:39.015489143+00:00,WECC,59.95085630743526
2026-03-20 23:41:40.004500132+00:00,EI,60.04049043062201
2026-03-20 23:41:40.004500132+00:00,ERCOT,59.98563514048279
2026-03-20 23:41:40.004500132+00:00,Quebec,60.01543332014246
2026-03-20 23:41:40.004500132+00:00,WECC,59.951483973090625
2026-03-20 23:41:41.048456176+00:00,EI,60.038762626262624
2026-03-20 23:41:41.048456176+00:00,ERCOT,59.98454469507101
2026-03-20 23:41:41.048456176+00:00,Quebec,60.01111111111111
2026-03-20 23:41:41.048456176+00:00,WECC,59.95292397660819
2026-03-20 23:41:42.037467165+00:00,EI,60.038762626262624
2026-03-20 23:41:42.037467165+00:00,ERCOT,59.98421052631579
2026-03-20 23:41:42.037467165+00:00,Quebec,60.010818713450284
2026-03-20 23:41:42.037467165+00:00,WECC,59.950981620718466
2026-03-20 23:41:43.026478154+00:00,EI,60.036279461279456
2026-03-20 23:41:43.026478154+00:00,ERCOT,59.98358395989975
2026-03-20 23:41:43.026478154+00:00,Quebec,60.00989974937343
2026-03-20 23:41:43.026478154+00:00,WECC,59.950751879699254
2026-03-20 23:41:44.015489143+00:00,EI,60.03400673400673
2026-03-20 23:41:44.015489143+00:00,ERCOT,59.98412698412699
2026-03-20 23:41:44.015489143+00:00,Quebec,60.009022556390974
2026-03-20 23:41:44.015489143+00:00,WECC,59.95043859649123
2026-03-20 23:41:45.004500132+00:00,EI,60.034669059011165
2026-03-20 23:41:45.004500132+00:00,ERCOT,59.985358132172536
2026-03-20 23:41:45.004500132+00:00,Quebec,60.010447170557974
2026-03-20 23:41:45.004500132+00:00,WECC,59.9507123070835
2026-03-20 23:41:46.048456176+00:00,EI,60.033122895622895
2026-03-20 23:41:46.048456176+00:00,ERCOT,59.98462823725981
2026-03-20 23:41:46.048456176+00:00,Quebec,60.010442773600666
2026-03-20 23:41:46.048456176+00:00,WECC,59.95037593984963
2026-03-20 23:41:47.037467165+00:00,EI,60.03232323232323
2026-03-20 23:41:47.037467165+00:00,ERCOT,59.985421888053466
2026-03-20 23:41:47.037467165+00:00,Quebec,60.009774436090225
2026-03-20 23:41:47.037467165+00:00,WECC,59.950161117078416
2026-03-20 23:41:48.026478154+00:00,EI,60.03219696969697
2026-03-20 23:41:48.026478154+00:00,ERCOT,59.98675856307435
2026-03-20 23:41:48.026478154+00:00,Quebec,60.009022556390974
2026-03-20 23:41:48.026478154+00:00,WECC,59.95009398496241
2026-03-20 23:41:49.015489143+00:00,EI,60.0311026936027
2026-03-20 23:41:49.015489143+00:00,ERCOT,59.984502923976606
2026-03-20 23:41:49.015489143+00:00,Quebec,60.01052631578947
2026-03-20 23:41:49.015489143+00:00,WECC,59.95009398496241
2026-03-20 23:41:50.004500132+00:00,EI,60.03108054226476
2026-03-20 23:41:50.004500132+00:00,ERCOT,59.98405223585279
