offset_seconds,frequency_hz
0.500000,60.010645
1.500000,60.010645
2.500000,59.958752
3.500000,59.958752
4.500000,60.057945
5.500000,60.057945
6.500000,60.008938
7.500000,60.001084
8.500000,59.998550
9.500000,59.998550
10.500000,60.011935
11.500000,60.011935
12.500000,59.991146
13.500000,59.991146
14.500000,59.994893
15.500000,60.004225
16.500000,60.004175
17.500000,60.006408
18.500000,60.004175
19.500000,60.015786
20.500000,60.015986
21.500000,60.015986
22.500000,60.015986
23.500000,59.987639
24.500000,60.029588
25.500000,59.988269
26.500000,60.020277
27.500000,60.020277
28.500000,60.020277
29.500000,60.002382
30.500000,60.002382
31.500000,60.016305
32.500000,60.016305
33.500000,60.012165
34.500000,60.006807
35.500000,60.012165
36.500000,60.005041
37.500000,60.005041
38.500000,60.005041
39.500000,60.013241
40.500000,60.013241
41.500000,60.017855
42.500000,59.984024
43.500000,59.996166
44.500000,59.996166
45.500000,60.005363
46.500000,60.010562
47.500000,60.005363
48.500000,60.010562
49.500000,59.974702
50.500000,60.016033
51.500000,60.008482
52.500000,60.016005
53.500000,60.008482
54.500000,60.005525
55.500000,60.003725
56.500000,60.005525
57.500000,60.012690
58.500000,60.012690
59.500000,59.997544
60.500000,59.977310
61.500000,59.997544
62.500000,59.992940
63.500000,59.992940
64.500000,59.991336
65.500000,59.991336
66.500000,60.006899
67.500000,60.006899
68.500000,59.983542
69.500000,59.983542
70.500000,59.995590
71.500000,59.995590
72.500000,59.991063
73.500000,59.990979
74.500000,59.991063
75.500000,59.979236
76.500000,59.984969
77.500000,59.984969
78.500000,59.984969
79.500000,59.976267
80.500000,59.976267
81.500000,59.985135
82.500000,59.985135
83.500000,59.985135
84.500000,59.970412
85.500000,60.002091
86.500000,59.975668
87.500000,59.975668
88.500000,59.975668
89.500000,59.987614
90.500000,59.987614
91.500000,59.976568
92.500000,59.976568
93.500000,59.976568
94.500000,59.992363
95.500000,59.992363
96.500000,59.992363
97.500000,59.999205
98.500000,59.995487
99.500000,59.995487
100.500000,59.995487
101.500000,59.997636
102.500000,59.997651
103.500000,59.997636
104.500000,59.995880
105.500000,59.995880
106.500000,59.981669
107.500000,59.989917
108.500000,59.989917
109.500000,59.997114
110.500000,60.005382
111.500000,59.997168
112.500000,60.005382
113.500000,59.997168
114.500000,59.992723
115.500000,59.988743
116.500000,59.988743
117.500000,60.004496
118.500000,60.008199
119.500000,60.008199
120.500000,59.995804
121.500000,59.989780
122.500000,59.995804
123.500000,59.989780
124.500000,60.003741
125.500000,60.003741
126.500000,60.003741
127.500000,60.005685
128.500000,59.998636
129.500000,60.005685
130.500000,59.998865
131.500000,59.998865
132.500000,59.998865
133.500000,59.991526
134.500000,60.008848
135.500000,60.007295
136.500000,60.008848
137.500000,60.007295
138.500000,60.009349
139.500000,60.018281
140.500000,60.018281
141.500000,59.987074
142.500000,59.987074
143.500000,60.018718
144.500000,60.018718
145.500000,60.018718
146.500000,60.021025
147.500000,60.021025
148.500000,59.983805
149.500000,59.983805
150.500000,60.009315
151.500000,60.009315
152.500000,60.009315
153.500000,60.019064
154.500000,60.019064
155.500000,60.019877
156.500000,59.991167
157.500000,60.020602
158.500000,60.014593
159.500000,60.014593
160.500000,60.014593
161.500000,60.000689
162.500000,60.000689
163.500000,60.000689
164.500000,59.996777
165.500000,60.020906
166.500000,60.003547
167.500000,60.003547
168.500000,60.003547
169.500000,59.983170
170.500000,60.002852
171.500000,59.996478
172.500000,60.002852
173.500000,59.996478
174.500000,59.990107
175.500000,59.990107
176.500000,59.982797
177.500000,59.977409
178.500000,59.977409
179.500000,60.009397
180.500000,60.009397
181.500000,59.982785
182.500000,59.972696
183.500000,59.972696
184.500000,59.998276
185.500000,59.998276
186.500000,59.979378
187.500000,59.973998
188.500000,59.973998
189.500000,59.979156
190.500000,59.981349
191.500000,59.979156
192.500000,59.974914
193.500000,59.974914
194.500000,59.986385
195.500000,59.986385
196.500000,59.991962
197.500000,59.972464
198.500000,59.994346
199.500000,59.992823
200.500000,59.992823
201.500000,59.992823
202.500000,59.962339
203.500000,59.983583
204.500000,59.972326
205.500000,59.972326
206.500000,59.972326
207.500000,59.977363
208.500000,59.987710
209.500000,59.977363
210.500000,59.967329
211.500000,59.967329
212.500000,59.978659
213.500000,59.978659
214.500000,59.996208
215.500000,59.962885
216.500000,59.975026
